Energy(eV) Total_DOS
-24.212978 0.000000
-24.182278 0.000000
-24.151478 0.000000
-24.120678 0.000000
-24.089978 0.000000
-24.059178 0.000000
-24.028378 0.000000
-23.997678 0.000000
-23.966878 0.000000
-23.936078 0.000000
-23.905378 0.000000
-23.874578 0.000000
-23.843778 0.000000
-23.813078 0.000000
-23.782278 0.000000
-23.751478 0.000000
-23.720778 0.000000
-23.689978 0.000000
-23.659178 0.000000
-23.628478 0.000000
-23.597678 0.000000
-23.566878 0.000000
-23.536178 0.000000
-23.505378 0.000000
-23.474578 0.000000
-23.443878 0.000000
-23.413078 0.000000
-23.382278 0.000000
-23.351578 0.000000
-23.320778 0.000000
-23.289978 0.000000
-23.259278 0.000000
-23.228478 0.000000
-23.197678 0.000000
-23.166978 0.000000
-23.136178 0.000000
-23.105378 0.000000
-23.074678 0.000000
-23.043878 0.000000
-23.013078 0.000000
-22.982378 0.000000
-22.951578 0.000000
-22.920778 0.000000
-22.890078 0.000000
-22.859278 0.000000
-22.828478 0.000000
-22.797778 0.000000
-22.766978 0.000000
-22.736178 0.000000
-22.705478 0.000000
-22.674678 0.000000
-22.643978 0.000000
-22.613178 0.000000
-22.582378 0.000000
-22.551678 0.000000
-22.520878 0.000000
-22.490078 0.000000
-22.459378 0.000000
-22.428578 0.000000
-22.397778 0.000000
-22.367078 0.000000
-22.336278 0.000000
-22.305478 0.000000
-22.274778 0.000000
-22.243978 0.000000
-22.213178 0.000000
-22.182478 0.000000
-22.151678 0.000000
-22.120878 0.000000
-22.090178 0.000000
-22.059378 0.000000
-22.028578 0.000000
-21.997878 0.000000
-21.967078 0.000000
-21.936278 0.000000
-21.905578 0.000000
-21.874778 0.000000
-21.843978 0.000000
-21.813278 0.000000
-21.782478 0.000000
-21.751678 0.000000
-21.720978 0.000000
-21.690178 0.000000
-21.659378 0.000000
-21.628678 0.000000
-21.597878 0.000000
-21.567078 0.000000
-21.536378 0.000000
-21.505578 0.000000
-21.474778 0.000000
-21.444078 0.000000
-21.413278 0.000100
-21.382478 0.019000
-21.351778 0.024200
-21.320978 0.032600
-21.290178 0.039100
-21.259478 0.041800
-21.228678 0.046600
-21.197878 0.051600
-21.167178 0.055400
-21.136378 0.058300
-21.105578 0.061000
-21.074878 0.064100
-21.044078 0.067700
-21.013278 0.071400
-20.982578 0.074000
-20.951778 0.075900
-20.920978 0.078300
-20.890278 0.080700
-20.859478 0.083200
-20.828678 0.085900
-20.797978 0.088700
-20.767178 0.091100
-20.736378 0.092900
-20.705678 0.094700
-20.674878 0.096500
-20.644078 0.098700
-20.613378 0.100800
-20.582578 0.102900
-20.551778 0.105100
-20.521078 0.107400
-20.490278 0.109500
-20.459578 0.110900
-20.428778 0.112500
-20.397978 0.114200
-20.367278 0.115800
-20.336478 0.117600
-20.305678 0.119400
-20.274978 0.121200
-20.244178 0.123100
-20.213378 0.125000
-20.182678 0.127000
-20.151878 0.128400
-20.121078 0.129800
-20.090378 0.131200
-20.059578 0.132700
-20.028778 0.134300
-19.998078 0.135800
-19.967278 0.137300
-19.936478 0.138900
-19.905778 0.140600
-19.874978 0.142200
-19.844178 0.143900
-19.813478 0.145600
-19.782678 0.147000
-19.751878 0.148200
-19.721178 0.149600
-19.690378 0.150900
-19.659578 0.152200
-19.628878 0.153600
-19.598078 0.155000
-19.567278 0.156500
-19.536578 0.157900
-19.505778 0.159300
-19.474978 0.160800
-19.444278 0.162300
-19.413478 0.163900
-19.382678 0.165400
-19.351978 0.166600
-19.321178 0.167800
-19.290378 0.169000
-19.259678 0.170200
-19.228878 0.171500
-19.198078 0.172700
-19.167378 0.174000
-19.136578 0.175300
-19.105778 0.176700
-19.075078 0.178000
-19.044278 0.179400
-19.013478 0.180800
-18.982778 0.182100
-18.951978 0.183500
-18.921178 0.184900
-18.890478 0.186100
-18.859678 0.187200
-18.828878 0.188400
-18.798178 0.189600
-18.767378 0.190800
-18.736578 0.192000
-18.705878 0.193200
-18.675078 0.194400
-18.644278 0.195700
-18.613578 0.196900
-18.582778 0.198200
-18.551978 0.199500
-18.521278 0.200800
-18.490478 0.202100
-18.459678 0.203400
-18.428978 0.204700
-18.398178 0.205900
-18.367478 0.207100
-18.336678 0.208200
-18.305878 0.209400
-18.275178 0.210500
-18.244378 0.211700
-18.213578 0.212900
-18.182878 0.214100
-18.152078 0.215300
-18.121278 0.216500
-18.090578 0.217700
-18.059778 0.219000
-18.028978 0.220200
-17.998278 0.221400
-17.967478 0.222700
-17.936678 0.224000
-17.905978 0.225300
-17.875178 0.226600
-17.844378 0.227800
-17.813678 0.229000
-17.782878 0.230100
-17.752078 0.231300
-17.721378 0.232500
-17.690578 0.233700
-17.659778 0.234900
-17.629078 0.236100
-17.598278 0.237300
-17.567478 0.238600
-17.536778 0.239800
-17.505978 0.241100
-17.475178 0.242400
-17.444478 0.243600
-17.413678 0.244900
-17.382878 0.246200
-17.352178 0.247500
-17.321378 0.248900
-17.290578 0.250200
-17.259878 0.251500
-17.229078 0.252800
-17.198278 0.254100
-17.167578 0.255300
-17.136778 0.256700
-17.105978 0.258000
-17.075278 0.259300
-17.044478 0.260600
-17.013678 0.262000
-16.982978 0.263400
-16.952178 0.264800
-16.921378 0.266200
-16.890678 0.267600
-16.859878 0.269000
-16.829078 0.270500
-16.798378 0.272000
-16.767578 0.273500
-16.736778 0.275000
-16.706078 0.276600
-16.675278 0.278100
-16.644478 0.279700
-16.613778 0.281300
-16.582978 0.282900
-16.552178 0.284600
-16.521478 0.286200
-16.490678 0.287900
-16.459878 0.289700
-16.429178 0.291500
-16.398378 0.293300
-16.367578 0.295100
-16.336878 0.297100
-16.306078 0.299100
-16.275278 0.301200
-16.244578 0.303300
-16.213778 0.305500
-16.183078 0.307800
-16.152278 0.310200
-16.121478 0.312700
-16.090778 0.315300
-16.059978 0.318000
-16.029178 0.320800
-15.998478 0.323800
-15.967678 0.327100
-15.936878 0.330700
-15.906178 0.334600
-15.875378 0.338900
-15.844578 0.343900
-15.813878 0.349800
-15.783078 0.356700
-15.752278 0.367000
-15.721578 0.377600
-15.690778 0.384400
-15.659978 0.426200
-15.629278 0.390200
-15.598478 0.384200
-15.567678 0.380500
-15.536978 0.380600
-15.506178 0.388500
-15.475378 0.378900
-15.444678 0.383800
-15.413878 0.380700
-15.383078 0.373200
-15.352378 0.368000
-15.321578 0.364600
-15.290778 0.361600
-15.260078 0.359500
-15.229278 0.359000
-15.198478 0.359800
-15.167778 0.360500
-15.136978 0.357600
-15.106178 0.352800
-15.075478 0.352300
-15.044678 0.350500
-15.013878 0.348400
-14.983178 0.346000
-14.952378 0.342300
-14.921578 0.337600
-14.890878 0.333900
-14.860078 0.331100
-14.829278 0.329200
-14.798578 0.327500
-14.767778 0.326400
-14.736978 0.324900
-14.706278 0.322500
-14.675478 0.321000
-14.644678 0.320400
-14.613978 0.318100
-14.583178 0.313200
-14.552378 0.311400
-14.521678 0.309600
-14.490878 0.307700
-14.460078 0.305700
-14.429378 0.303700
-14.398578 0.301200
-14.367778 0.298500
-14.337078 0.295200
-14.306278 0.291700
-14.275478 0.288800
-14.244778 0.286400
-14.213978 0.284300
-14.183178 0.282600
-14.152478 0.281000
-14.121678 0.278900
-14.090978 0.276600
-14.060178 0.274900
-14.029378 0.273400
-13.998678 0.271500
-13.967878 0.269100
-13.937078 0.266200
-13.906378 0.261600
-13.875578 0.259400
-13.844778 0.257200
-13.814078 0.255100
-13.783278 0.252900
-13.752478 0.250800
-13.721778 0.248500
-13.690978 0.246000
-13.660178 0.243500
-13.629478 0.241100
-13.598678 0.238800
-13.567878 0.236100
-13.537178 0.233300
-13.506378 0.230700
-13.475578 0.228500
-13.444878 0.226200
-13.414078 0.224200
-13.383278 0.221800
-13.352578 0.219400
-13.321778 0.217200
-13.290978 0.215200
-13.260278 0.231900
-13.229478 0.240300
-13.198678 0.243800
-13.167978 0.255400
-13.137178 0.271200
-13.106378 0.281100
-13.075678 0.267100
-13.044878 0.272000
-13.014078 0.278100
-12.983378 0.287400
-12.952578 0.294800
-12.921778 0.307200
-12.891078 0.305500
-12.860278 0.297200
-12.829478 0.288300
-12.798778 0.282100
-12.767978 0.273300
-12.737178 0.261300
-12.706478 0.251400
-12.675678 0.246300
-12.644878 0.240500
-12.614178 0.229200
-12.583378 0.225000
-12.552578 0.224200
-12.521878 0.224300
-12.491078 0.223300
-12.460278 0.221700
-12.429578 0.224200
-12.398778 0.228600
-12.367978 0.234800
-12.337278 0.243800
-12.306478 0.249000
-12.275678 0.252200
-12.244978 0.242800
-12.214178 0.250200
-12.183378 0.261400
-12.152678 0.271300
-12.121878 0.279700
-12.091078 0.289300
-12.060378 0.300000
-12.029578 0.309100
-11.998778 0.318700
-11.968078 0.329000
-11.937278 0.339200
-11.906578 0.351500
-11.875778 0.365700
-11.844978 0.379600
-11.814278 0.398000
-11.783478 0.415800
-11.752678 0.436600
-11.721978 0.458300
-11.691178 0.492200
-11.660378 0.509100
-11.629678 0.523500
-11.598878 0.544400
-11.568078 0.583300
-11.537378 0.643300
-11.506578 0.695000
-11.475778 0.700900
-11.445078 0.688400
-11.414278 0.696400
-11.383478 0.708800
-11.352778 0.709100
-11.321978 0.635500
-11.291178 0.590900
-11.260478 0.557100
-11.229678 0.534600
-11.198878 0.517000
-11.168178 0.503500
-11.137378 0.491700
-11.106578 0.480700
-11.075878 0.470300
-11.045078 0.460400
-11.014278 0.449000
-10.983578 0.438500
-10.952778 0.426500
-10.921978 0.417600
-10.891278 0.411000
-10.860478 0.406000
-10.829678 0.401600
-10.798978 0.397200
-10.768178 0.392800
-10.737378 0.388400
-10.706678 0.384000
-10.675878 0.379400
-10.645078 0.374000
-10.614378 0.367600
-10.583578 0.361200
-10.552778 0.354300
-10.522078 0.348200
-10.491278 0.343900
-10.460478 0.341000
-10.429778 0.338500
-10.398978 0.335900
-10.368178 0.333200
-10.337478 0.330600
-10.306678 0.327800
-10.275878 0.325100
-10.245178 0.322300
-10.214378 0.319400
-10.183578 0.315100
