Energy(eV) Total_DOS
-16.530070 0.000000
-16.511570 0.000000
-16.493070 0.000000
-16.474670 0.000000
-16.456170 0.000000
-16.437670 0.000000
-16.419270 0.000000
-16.400770 0.000000
-16.382270 0.000000
-16.363870 0.000000
-16.345370 0.000000
-16.326870 0.000000
-16.308370 0.000000
-16.289970 0.000000
-16.271470 0.000000
-16.252970 0.000000
-16.234570 0.000000
-16.216070 0.000000
-16.197570 0.000000
-16.179170 0.000000
-16.160670 0.000000
-16.142170 0.000000
-16.123770 0.000000
-16.105270 0.000000
-16.086770 0.000000
-16.068270 0.000000
-16.049870 0.000000
-16.031370 0.000000
-16.012870 0.000000
-15.994470 0.000000
-15.975970 0.000000
-15.957470 0.000000
-15.939070 0.000000
-15.920570 0.000000
-15.902070 0.000000
-15.883670 0.000000
-15.865170 0.000000
-15.846670 0.000000
-15.828170 0.000000
-15.809770 0.000000
-15.791270 0.000000
-15.772770 0.000000
-15.754370 0.000000
-15.735870 0.000000
-15.717370 0.000000
-15.698970 0.000000
-15.680470 0.000000
-15.661970 0.000000
-15.643570 0.000000
-15.625070 0.000000
-15.606570 0.000000
-15.588070 0.000000
-15.569670 0.000000
-15.551170 0.000000
-15.532670 0.000000
-15.514270 0.000000
-15.495770 0.000000
-15.477270 0.000000
-15.458870 0.000000
-15.440370 0.000000
-15.421870 0.000000
-15.403470 0.000000
-15.384970 0.000000
-15.366470 0.000000
-15.347970 0.000000
-15.329570 0.000000
-15.311070 0.000000
-15.292570 0.000000
-15.274170 0.000000
-15.255670 0.000000
-15.237170 0.000000
-15.218770 0.000000
-15.200270 0.000000
-15.181770 0.000000
-15.163370 0.000000
-15.144870 0.000000
-15.126370 0.000000
-15.107870 0.000000
-15.089470 0.000000
-15.070970 0.000000
-15.052470 0.000000
-15.034070 0.000000
-15.015570 0.000000
-14.997070 0.000000
-14.978670 0.000000
-14.960170 0.000000
-14.941670 0.000000
-14.923270 0.000000
-14.904770 0.000000
-14.886270 0.000000
-14.867770 0.000000
