Energy(eV) Total_DOS
-21.412701 0.000000
-21.350801 0.000000
-21.289001 0.000000
-21.227101 0.000000
-21.165201 0.000000
-21.103301 0.000000
-21.041501 0.000000
-20.979601 0.000000
-20.917701 0.000000
-20.855801 0.000000
-20.794001 0.000000
-20.732101 0.000000
-20.670201 0.000000
-20.608301 0.000000
-20.546501 0.000000
-20.484601 0.000000
-20.422701 0.000000
-20.360801 0.000000
-20.299001 0.000000
-20.237101 0.000000
-20.175201 0.000000
-20.113301 0.000000
-20.051501 0.000000
-19.989601 0.000000
-19.927701 0.000000
-19.865801 0.000000
-19.804001 0.000000
-19.742101 0.000000
-19.680201 0.000000
-19.618301 0.000000
-19.556501 0.000000
-19.494601 0.000000
-19.432701 0.000000
-19.370801 0.000000
-19.309001 0.000000
-19.247101 0.000000
-19.185201 0.000000
-19.123301 0.000000
-19.061501 0.000000
-18.999601 0.000000
-18.937701 0.000000
-18.875801 0.000000
-18.814001 0.000000
-18.752101 0.000000
-18.690201 0.000000
-18.628301 0.000000
-18.566501 0.000000
-18.504601 0.000000
-18.442701 0.000000
-18.380801 0.000000
-18.318901 0.000000
-18.257101 0.000000
-18.195201 0.000000
-18.133301 0.000000
-18.071401 0.000000
-18.009601 0.000000
-17.947701 0.000000
-17.885801 0.000000
-17.823901 0.000000
-17.762101 0.000000
-17.700201 0.000000
-17.638301 0.000000
-17.576401 0.000000
-17.514601 0.000000
-17.452701 0.000000
-17.390801 0.000000
-17.328901 0.000000
-17.267101 0.000000
-17.205201 0.000000
-17.143301 0.000000
-17.081401 0.000000
-17.019601 0.000000
-16.957701 0.000000
-16.895801 0.000000
-16.833901 0.000000
-16.772101 0.000000
-16.710201 0.000000
-16.648301 0.000000
-16.586401 0.000000
-16.524601 0.000000
-16.462701 0.000000
-16.400801 0.000000
-16.338901 0.000000
-16.277101 0.000000
-16.215201 0.000000
-16.153301 0.000000
-16.091401 0.000000
-16.029601 0.000000
-15.967701 0.000000
-15.905801 0.000000
-15.843901 0.000000
-15.782101 0.000700
-15.720201 0.102600
-15.658301 0.336900
-15.596401 0.449400
-15.534601 0.557700
-15.472701 0.709800
-15.410801 0.897600
-15.348901 1.304400
-15.287101 1.400700
-15.225201 1.576600
-15.163301 1.940200
-15.101401 3.201500
-15.039601 4.294600
-14.977701 9.203900
-14.915801 12.014600
-14.853901 17.702200
-14.792101 0.000000
-14.730201 0.000000
-14.668301 0.000000
-14.606401 0.000000
-14.544601 0.000000
-14.482701 0.000000
-14.420801 0.000000
-14.358901 0.000000
-14.297101 0.000000
-14.235201 0.000000
-14.173301 0.000000
-14.111401 0.000000
-14.049601 0.000000
-13.987701 0.000000
-13.925801 0.000000
-13.863901 0.000000
-13.802101 0.000000
-13.740201 0.000000
-13.678301 0.000000
-13.616401 0.000000
-13.554601 0.000000
-13.492701 0.000000
-13.430801 43.449200
-13.368901 34.055800
-13.307101 38.623000
-13.245201 66.543600
-13.183301 48.526700
-13.121401 1.609500
-13.059601 1.464200
-12.997701 1.376200
-12.935801 1.179300
-12.873901 1.063300
-12.812001 1.209900
-12.750201 1.210500
-12.688301 1.255200
-12.626401 1.289900
-12.564501 1.351600
-12.502701 1.390400
-12.440801 1.455600
-12.378901 1.532000
-12.317001 1.635100
-12.255201 1.757100
-12.193301 1.905400
-12.131401 2.263000
-12.069501 2.475700
-12.007701 2.585400
-11.945801 2.726500
-11.883901 3.063000
-11.822001 2.486600
-11.760201 2.688200
-11.698301 2.976600
-11.636401 2.746800
-11.574501 2.719600
-11.512701 3.526000
-11.450801 3.739400
-11.388901 3.627400
-11.327001 1.939200
-11.265201 0.066900
-11.203301 0.000000
-11.141401 0.000000
-11.079501 0.000000
-11.017701 0.000000
-10.955801 0.000000
-10.893901 0.000000
-10.832001 0.000000
-10.770201 0.000000
-10.708301 0.000000
-10.646401 0.000000
-10.584501 0.000000
-10.522701 0.000000
-10.460801 0.000000
-10.398901 0.000000
-10.337001 0.000000
-10.275201 0.000000
-10.213301 0.000000
-10.151401 0.000000
-10.089501 0.000000
-10.027701 0.000000
-9.965801 0.000000
-9.903901 0.000000
-9.842001 0.000000
-9.780201 0.000000
-9.718301 0.000000
-9.656401 0.000000
-9.594501 0.000000
-9.532701 0.000000
-9.470801 0.000000
-9.408901 0.000000
-9.347001 0.000000
-9.285201 0.000000
-9.223301 0.000000
-9.161401 0.000000
-9.099501 0.000000
-9.037701 0.000000
-8.975801 0.000000
-8.913901 0.000000
-8.852001 0.000000
-8.790201 0.000000
-8.728301 0.000000
-8.666401 0.000000
-8.604501 0.000000
-8.542701 0.000000
-8.480801 0.000000
-8.418901 0.000000
-8.357001 0.000000
-8.295201 0.000000
-8.233301 0.000000
-8.171401 0.000000
-8.109501 0.000000
-8.047701 0.000000
-7.985801 0.000000
-7.923901 0.000000
-7.862001 0.000000
-7.800201 0.000000
-7.738301 0.000000
-7.676401 0.000000
-7.614501 0.000000
-7.552701 0.000000
-7.490801 0.000000
-7.428901 0.000000
-7.367001 0.000000
-7.305101 0.000000
-7.243301 0.000000
-7.181401 0.000000
-7.119501 0.000000
-7.057601 0.000000
-6.995801 0.000000
-6.933901 0.000000
-6.872001 0.002200
-6.810101 0.015800
-6.748301 0.041600
-6.686401 0.063100
-6.624501 0.084500
-6.562601 0.107700
-6.500801 0.776900
-6.438901 0.923300
-6.377001 1.088800
-6.315101 1.356400
-6.253301 1.528800
-6.191401 1.676500
-6.129501 2.616400
-6.067601 2.659300
-6.005801 2.828000
-5.943901 3.878000
-5.882001 3.419400
-5.820101 3.084900
-5.758301 2.379800
-5.696401 1.786900
-5.634501 1.529000
-5.572601 1.476200
-5.510801 1.469100
-5.448901 1.524300
-5.387001 1.549900
-5.325101 1.577600
-5.263301 1.613500
-5.201401 1.596000
-5.139501 1.389600
-5.077601 1.270200
-5.015801 1.176500
-4.953901 1.091200
-4.892001 1.013400
-4.830101 0.944600
-4.768301 1.046300
-4.706401 1.690900
-4.644501 0.655600
-4.582601 0.661000
-4.520801 0.660500
-4.458901 0.670800
-4.397001 0.690800
-4.335101 0.716700
-4.273301 1.066500
-4.211401 1.064100
-4.149501 1.201200
-4.087601 1.283100
-4.025801 1.321300
-3.963901 1.360400
-3.902001 1.392100
-3.840101 1.419500
-3.778301 1.482300
-3.716401 1.430100
-3.654501 1.355500
-3.592601 1.303000
-3.530801 1.288200
-3.468901 1.387500
-3.407001 1.482300
-3.345101 1.596400
-3.283301 1.720000
-3.221401 1.852500
-3.159501 1.968100
-3.097601 2.132800
-3.035801 2.415700
-2.973901 2.341200
-2.912001 1.969000
-2.850101 1.907900
-2.788301 2.002000
-2.726401 2.245500
-2.664501 2.319800
-2.602601 2.147400
-2.540801 1.999600
-2.478901 2.027200
-2.417001 2.081600
-2.355101 2.175700
-2.293301 2.265400
