Energy(eV) Total_DOS
-37.800899 0.000000
-37.775499 0.000000
-37.749999 0.000000
-37.724499 0.000000
-37.698999 0.000000
-37.673499 0.000000
-37.647999 0.000000
-37.622499 0.000000
-37.596999 0.000000
-37.571499 0.000000
-37.546099 0.000000
-37.520599 0.000000
-37.495099 0.000000
-37.469599 0.000000
-37.444099 0.000000
-37.418599 0.000000
-37.393099 0.000000
-37.367599 0.000000
-37.342099 0.000000
-37.316699 0.000000
-37.291199 0.000000
-37.265699 0.000000
-37.240199 0.000000
-37.214699 0.000000
-37.189199 0.000000
-37.163699 0.000000
-37.138199 0.000000
-37.112699 0.000000
-37.087299 0.000000
-37.061799 0.000000
-37.036299 0.000000
-37.010799 0.000000
-36.985299 0.000000
-36.959799 0.000000
-36.934299 0.000000
-36.908799 0.000000
-36.883299 0.000000
-36.857799 0.000000
-36.832399 0.000000
-36.806899 0.000000
-36.781399 0.000000
-36.755899 0.000000
-36.730399 0.000000
-36.704899 0.000000
-36.679399 0.000000
-36.653899 0.000000
-36.628399 0.000000
-36.602999 0.000000
-36.577499 0.000000
-36.551999 0.000000
-36.526499 0.000000
-36.500999 0.000000
-36.475499 0.000000
-36.449999 0.000000
-36.424499 0.000000
-36.398999 0.000000
-36.373599 0.000000
-36.348099 0.000000
-36.322599 0.000000
-36.297099 0.000000
-36.271599 0.000000
-36.246099 0.000000
-36.220599 0.000000
-36.195099 0.000000
-36.169599 0.000000
-36.144099 0.000000
-36.118699 0.000000
-36.093199 0.000000
-36.067699 0.000000
-36.042199 0.000000
-36.016699 0.000000
-35.991199 0.000000
-35.965699 0.000000
-35.940199 0.000000
-35.914699 0.000000
-35.889299 0.000000
-35.863799 0.000000
-35.838299 0.000000
-35.812799 0.000000
-35.787299 0.000000
-35.761799 0.000000
-35.736299 0.000000
-35.710799 0.000000
-35.685299 0.000000
-35.659899 0.000000
-35.634399 0.000000
-35.608899 0.000000
-35.583399 0.000000
-35.557899 0.000000
-35.532399 0.000000
-35.506899 0.000000
-35.481399 6.419400
-35.455899 11.103300
-35.430399 15.038200
-35.404999 10.944500
-35.379499 5.433100
-35.353999 4.670000
-35.328499 6.762400
-35.302999 22.093200
-35.277499 34.505200
-35.251999 48.285600
-35.226499 15.834500
-35.200999 18.675600
-35.175599 14.091800
-35.150099 12.529600
-35.124599 0.000000
-35.099099 0.000000
-35.073599 0.000000
-35.048099 0.000000
-35.022599 0.000000
-34.997099 0.000000
-34.971599 0.000000
-34.946199 0.000000
-34.920699 0.000000
-34.895199 0.000000
-34.869699 0.000000
-34.844199 0.000000
-34.818699 0.000000
-34.793199 0.000000
-34.767699 0.000000
-34.742199 0.000000
-34.716799 0.000000
-34.691299 0.000000
-34.665799 0.000000
-34.640299 0.000000
-34.614799 0.000000
-34.589299 0.000000
-34.563799 0.000000
-34.538299 0.000000
-34.512799 0.000000
-34.487299 0.000000
-34.461899 0.000000
-34.436399 0.000000
-34.410899 0.000000
-34.385399 0.000000
-34.359899 0.000000
-34.334399 0.000000
-34.308899 0.000000
-34.283399 0.000000
-34.257899 0.000000
-34.232499 0.000000
-34.206999 0.000000
-34.181499 0.000000
-34.155999 0.000000
-34.130499 0.000000
-34.104999 0.000000
-34.079499 0.000000
-34.053999 0.000000
-34.028499 0.000000
-34.003099 0.000000
-33.977599 0.000000
-33.952099 0.000000
-33.926599 0.000000
-33.901099 0.000000
-33.875599 0.000000
-33.850099 0.000000
-33.824599 0.000000
-33.799099 0.000000
-33.773599 0.000000
-33.748199 0.000000
-33.722699 0.000000
-33.697199 0.000000
-33.671699 0.000000
-33.646199 0.000000
-33.620699 0.000000
-33.595199 0.000000
-33.569699 0.000000
-33.544199 0.000000
-33.518799 0.000000
-33.493299 0.000000
-33.467799 0.000000
-33.442299 0.000000
-33.416799 0.000000
-33.391299 0.000000
-33.365799 0.000000
-33.340299 0.000000
-33.314799 0.000000
-33.289399 0.000000
-33.263899 0.000000
-33.238399 0.000000
-33.212899 0.000000
-33.187399 0.000000
-33.161899 0.000000
-33.136399 0.000000
-33.110899 0.000000
-33.085399 0.000000
-33.059899 0.000000
-33.034499 0.000000
-33.008999 0.000000
-32.983499 0.000000
-32.957999 0.000000
-32.932499 0.000000
-32.906999 0.000000
-32.881499 0.000000
-32.855999 0.000000
-32.830499 0.000000
-32.805099 0.000000
-32.779599 0.000000
-32.754099 0.000000
-32.728599 0.000000
-32.703099 0.000000
-32.677599 0.000000
-32.652099 0.000000
-32.626599 0.000000
-32.601099 0.000000
-32.575699 0.000000
-32.550199 0.000000
-32.524699 0.000000
-32.499199 0.000000
-32.473699 0.000000
-32.448199 0.000000
-32.422699 0.000000
-32.397199 0.000000
-32.371699 0.000000
-32.346299 0.000000
-32.320799 0.000000
-32.295299 0.000000
-32.269799 0.000000
-32.244299 0.000000
-32.218799 0.000000
-32.193299 0.000000
-32.167799 0.000000
