Energy(eV) Total_DOS
-13.137642 0.000000
-13.122842 0.000000
-13.108042 0.000000
-13.093242 0.000000
-13.078442 0.000000
-13.063642 0.000000
-13.048842 0.000000
-13.034042 0.000000
-13.019142 0.000000
-13.004342 0.000000
-12.989542 0.000000
-12.974742 0.000000
-12.959942 0.000000
-12.945142 0.000000
-12.930342 0.000000
-12.915542 0.000000
-12.900742 0.000000
-12.885842 0.000000
-12.871042 0.000000
-12.856242 0.000000
-12.841442 0.000000
-12.826642 0.000000
-12.811842 0.000000
-12.797042 0.000000
-12.782242 0.000000
-12.767442 0.000000
-12.752542 0.000000
-12.737742 0.000000
-12.722942 0.000000
-12.708142 0.000000
-12.693342 0.000000
-12.678542 0.000000
-12.663742 0.000000
-12.648942 0.000000
-12.634142 0.000000
-12.619242 0.000000
-12.604442 0.000000
-12.589642 0.000000
-12.574842 0.000000
-12.560042 0.000000
-12.545242 0.000000
-12.530442 0.000000
-12.515642 0.000000
-12.500842 0.000000
-12.485942 0.000000
-12.471142 0.000000
-12.456342 0.000000
-12.441542 0.000000
-12.426742 0.000000
-12.411942 0.000000
-12.397142 0.000000
-12.382342 0.000000
-12.367442 0.000000
-12.352642 0.000000
-12.337842 0.000000
-12.323042 0.000000
-12.308242 0.000000
-12.293442 0.000000
-12.278642 0.000000
-12.263842 0.000000
-12.249042 0.000000
-12.234142 0.000000
-12.219342 0.000000
-12.204542 0.000000
-12.189742 0.000000
-12.174942 0.000000
-12.160142 0.000000
-12.145342 0.000000
-12.130542 0.000000
-12.115742 0.000000
-12.100842 0.000000
-12.086042 0.000000
-12.071242 0.000000
-12.056442 0.000000
-12.041642 0.000000
-12.026842 0.000000
-12.012042 0.000000
-11.997242 0.000000
-11.982442 0.000000
-11.967542 0.000000
-11.952742 0.000000
-11.937942 0.000000
-11.923142 0.000000
-11.908342 0.000000
-11.893542 0.000000
-11.878742 0.000000
-11.863942 0.000000
-11.849142 0.000000
-11.834242 0.000000
-11.819442 0.000000
-11.804642 0.000000
-11.789842 0.021400
-11.775042 0.047800
-11.760242 0.065700
-11.745442 0.076900
-11.730642 0.087700
-11.715742 0.102500
-11.700942 0.109600
-11.686142 0.115000
-11.671342 0.122600
-11.656542 0.131400
-11.641742 0.140600
-11.626942 0.147000
-11.612142 0.152000
-11.597342 0.157100
-11.582442 0.163000
-11.567642 0.169200
-11.552842 0.175200
-11.538042 0.182000
-11.523242 0.187800
-11.508442 0.192300
-11.493642 0.196200
-11.478842 0.200700
-11.464042 0.205400
-11.449142 0.210100
-11.434342 0.215300
-11.419542 0.220800
-11.404742 0.226400
-11.389942 0.230800
-11.375142 0.234300
-11.360342 0.237800
-11.345542 0.241800
-11.330742 0.245900
-11.315842 0.249900
-11.301042 0.254200
-11.286242 0.258600
-11.271442 0.263000
-11.256642 0.267500
-11.241842 0.272200
-11.227042 0.275700
-11.212242 0.278900
-11.197442 0.282400
-11.182542 0.285900
-11.167742 0.289400
-11.152942 0.292900
-11.138142 0.296600
-11.123342 0.300500
-11.108542 0.304400
-11.093742 0.308400
-11.078942 0.312500
-11.064142 0.316700
-11.049242 0.320300
-11.034442 0.323300
-11.019642 0.326300
-11.004842 0.329500
-10.990042 0.332700
-10.975242 0.336000
-10.960442 0.339500
-10.945642 0.343000
-10.930742 0.346500
-10.915942 0.350100
-10.901142 0.353700
-10.886342 0.357300
-10.871542 0.361100
-10.856742 0.364900
-10.841942 0.368400
-10.827142 0.371400
-10.812342 0.374400
-10.797442 0.377500
-10.782642 0.380700
-10.767842 0.383800
-10.753042 0.387100
-10.738242 0.390300
-10.723442 0.393600
-10.708642 0.396900
-10.693842 0.400300
-10.679042 0.403900
-10.664142 0.407500
-10.649342 0.411200
-10.634542 0.414900
-10.619742 0.418700
-10.604942 0.421900
-10.590142 0.424800
-10.575342 0.427900
-10.560542 0.431000
-10.545742 0.434000
-10.530842 0.437300
-10.516042 0.440600
-10.501242 0.444000
-10.486442 0.447500
-10.471642 0.450900
-10.456842 0.454400
-10.442042 0.458000
-10.427242 0.461600
-10.412442 0.465200
-10.397542 0.468900
-10.382742 0.472600
-10.367942 0.476300
-10.353142 0.479900
-10.338342 0.483400
-10.323542 0.486700
-10.308742 0.490200
-10.293942 0.493700
-10.279042 0.497200
-10.264242 0.500700
-10.249442 0.504400
-10.234642 0.508000
-10.219842 0.511700
-10.205042 0.515500
-10.190242 0.519200
-10.175442 0.523200
-10.160642 0.527300
-10.145742 0.531500
-10.130942 0.535700
-10.116142 0.540000
-10.101342 0.544400
-10.086542 0.548900
-10.071742 0.553200
-10.056942 0.557200
-10.042142 0.561300
-10.027342 0.565400
-10.012442 0.569600
-9.997642 0.573800
-9.982842 0.578300
-9.968042 0.583100
-9.953242 0.587900
-9.938442 0.592900
-9.923642 0.597900
-9.908842 0.603100
-9.894042 0.608400
-9.879142 0.613900
-9.864342 0.619400
-9.849542 0.625100
-9.834742 0.631000
-9.819942 0.637100
-9.805142 0.643300
-9.790342 0.649600
-9.775542 0.656700
-9.760742 0.663500
-9.745842 0.670600
-9.731042 0.677900
-9.716242 0.685700
-9.701442 0.693900
-9.686642 0.702500
-9.671842 0.711600
-9.657042 0.721200
-9.642242 0.731800
-9.627342 0.743000
-9.612542 0.755400
-9.597742 0.769300
-9.582942 0.785500
-9.568142 0.804600
-9.553342 0.830200
-9.538542 0.859500
-9.523742 0.924500
-9.508942 0.911100
-9.494042 0.907400
-9.479242 0.924900
-9.464442 0.918500
-9.449642 0.902900
-9.434842 0.894600
-9.420042 0.885700
-9.405242 0.881400
-9.390442 0.883500
-9.375642 0.877200
-9.360742 0.870400
-9.345942 0.866800
-9.331142 0.861500
-9.316342 0.854600
-9.301542 0.847800
-9.286742 0.841400
-9.271942 0.837200
-9.257142 0.833800
-9.242342 0.829800
-9.227442 0.826100
-9.212642 0.817900
-9.197842 0.810200
-9.183042 0.806200
-9.168242 0.802200
-9.153442 0.797500
-9.138642 0.792200
-9.123842 0.786600
-9.109042 0.781300
-9.094142 0.776200
-9.079342 0.771400
-9.064542 0.766200
-9.049742 0.762800
-9.034942 0.758200
-9.020142 0.752800
-9.005342 0.744400
-8.990542 0.737000
-8.975742 0.732400
-8.960842 0.727600
-8.946042 0.723100
-8.931242 0.718500
-8.916442 0.713500
-8.901642 0.707500
-8.886842 0.701600
-8.872042 0.695600
-8.857242 0.690800
-8.842342 0.686500
-8.827542 0.682500
-8.812742 0.678000
-8.797942 0.673400
-8.783142 0.668800
-8.768342 0.663300
-8.753542 0.655800
-8.738742 0.648600
-8.723942 0.642900
-8.709042 0.637600
-8.694242 0.632600
-8.679442 0.627400
-8.664642 0.622100
-8.649842 0.616500
-8.635042 0.610800
-8.620242 0.605000
-8.605442 0.599700
-8.590642 0.595100
-8.575742 0.590400
-8.560942 0.585800
-8.546142 0.580300
-8.531342 0.574400
-8.516542 0.568600
-8.501742 0.563000
-8.486942 0.557400
-8.472142 0.550900
-8.457342 0.543500
-8.442442 0.536000
-8.427642 0.530500
-8.412842 0.525300
-8.398042 0.519700
-8.383242 0.514200
-8.368442 0.508900
-8.353642 0.503700
-8.338842 0.498200
-8.324042 0.491800
-8.309142 0.485300
-8.294342 0.478300
-8.279542 0.473500
-8.264742 0.470400
-8.249942 0.465900
-8.235142 0.458100
-8.220342 0.451500
-8.205542 0.444800
-8.190642 0.437700
-8.175842 0.430200
-8.161042 0.423600
-8.146242 0.416400
-8.131442 0.406800
-8.116642 0.395800
-8.101842 0.387800
-8.087042 0.380200
-8.072242 0.372700
-8.057342 0.368900
-8.042542 0.362600
-8.027742 0.355800
-8.012942 0.348600
-7.998142 0.340900
-7.983342 0.339000
-7.968542 0.335500
-7.953742 0.330300
-7.938942 0.460000
-7.924042 0.660100
-7.909242 0.436800
-7.894442 0.345000
-7.879642 0.253300
-7.864842 0.210000
-7.850042 0.171900
-7.835242 0.146200
-7.820442 0.125300
-7.805642 0.106200
-7.790742 0.098300
-7.775942 0.080900
-7.761142 0.096400
-7.746342 0.000000
-7.731542 0.000000
-7.716742 0.000000
-7.701942 0.000000
-7.687142 0.000000
-7.672342 0.000000
-7.657442 0.000000
-7.642642 0.000000
-7.627842 0.000000
-7.613042 0.000000
-7.598242 0.000000
-7.583442 0.000000
-7.568642 0.000000
-7.553842 0.000000
-7.538942 0.000000
-7.524142 0.000000
-7.509342 0.206500
-7.494542 0.210200
-7.479742 0.204700
-7.464942 0.235100
-7.450142 0.238600
-7.435342 0.263600
-7.420542 0.305200
-7.405642 0.404400
-7.390842 0.269300
-7.376042 0.274400
-7.361242 0.279600
-7.346442 0.284800
-7.331642 0.288500
-7.316842 0.293600
-7.302042 0.301200
-7.287242 0.308800
-7.272342 0.316400
-7.257542 0.324000
-7.242742 0.331400
-7.227942 0.339200
-7.213142 0.349400
-7.198342 0.361000
-7.183542 0.372800
-7.168742 0.384500
-7.153942 0.395000
-7.139042 0.405000
-7.124242 0.414000
-7.109442 0.424600
-7.094642 0.435300
-7.079842 0.449600
-7.065042 0.458100
-7.050242 0.465900
-7.035442 0.473400
-7.020642 0.482600
-7.005742 0.491700
-6.990942 0.500500
-6.976142 0.509300
-6.961342 0.519500
-6.946542 0.530900
-6.931742 0.544500
-6.916942 0.558700
-6.902142 0.573600
-6.887342 0.588700
-6.872442 0.603400
-6.857642 0.617200
-6.842842 0.659200
-6.828042 0.770500
-6.813242 0.874500
-6.798442 0.967000
-6.783642 1.048100
-6.768842 1.131600
-6.753942 1.219700
-6.739142 1.323100
-6.724342 1.482300
-6.709542 1.642600
-6.694742 2.230900
-6.679942 2.116400
-6.665142 1.823900
-6.650342 1.600700
-6.635542 1.430600
-6.620642 1.340900
-6.605842 1.269800
-6.591042 1.206900
-6.576242 1.152100
-6.561442 1.105100
-6.546642 1.066200
-6.531842 1.033100
-6.517042 1.004400
-6.502242 0.977800
-6.487342 0.952800
-6.472542 0.929400
-6.457742 0.907400
-6.442942 0.887100
-6.428142 0.868500
-6.413342 0.851000
-6.398542 0.834500
-6.383742 0.819100
-6.368942 0.804400
-6.354042 0.790200
-6.339242 0.776500
-6.324442 0.764100
-6.309642 0.752100
-6.294842 0.740600
-6.280042 0.729400
-6.265242 0.718600
-6.250442 0.708100
-6.235642 0.698000
-6.220742 0.688300
-6.205942 0.678900
-6.191142 0.669700
-6.176342 0.660800
-6.161542 0.652100
-6.146742 0.643700
-6.131942 0.635400
-6.117142 0.627800
-6.102242 0.620300
-6.087442 0.613000
-6.072642 0.605900
-6.057842 0.599000
-6.043042 0.592300
-6.028242 0.585800
-6.013442 0.579300
-5.998642 0.572900
-5.983842 0.566600
-5.968942 0.560500
-5.954142 0.554400
-5.939342 0.548500
-5.924542 0.542600
-5.909742 0.537000
-5.894942 0.531700
-5.880142 0.526400
-5.865342 0.521200
-5.850542 0.516100
-5.835642 0.511000
-5.820842 0.506000
-5.806042 0.501000
-5.791242 0.496100
-5.776442 0.491300
-5.761642 0.486500
-5.746842 0.481900
-5.732042 0.477200
-5.717242 0.472600
-5.702342 0.468000
-5.687542 0.463400
-5.672742 0.459200
-5.657942 0.455100
-5.643142 0.451000
-5.628342 0.446900
-5.613542 0.443000
-5.598742 0.439100
-5.583942 0.435200
-5.569042 0.431300
-5.554242 0.427500
-5.539442 0.423800
-5.524642 0.420000
-5.509842 0.416300
-5.495042 0.412600
-5.480242 0.409000
-5.465442 0.405400
-5.450542 0.401800
-5.435742 0.398300
-5.420942 0.395100
-5.406142 0.391800
-5.391342 0.388600
-5.376542 0.385300
-5.361742 0.382100
-5.346942 0.378900
-5.332142 0.375700
-5.317242 0.372600
-5.302442 0.369400
-5.287642 0.366300
-5.272842 0.363200
-5.258042 0.360100
-5.243242 0.357100
-5.228442 0.354100
-5.213642 0.351100
-5.198842 0.348100
-5.183942 0.345100
-5.169142 0.342300
-5.154342 0.339600
-5.139542 0.336900
-5.124742 0.334200
-5.109942 0.331500
-5.095142 0.328900
-5.080342 0.326300
-5.065542 0.323700
-5.050642 0.321100
-5.035842 0.318500
-5.021042 0.315900
-5.006242 0.313400
-4.991442 0.310800
-4.976642 0.308300
-4.961842 0.305800
-4.947042 0.303300
-4.932242 0.300900
-4.917342 0.298300
-4.902542 0.296100
-4.887742 0.293800
-4.872942 0.291500
-4.858142 0.289300
-4.843342 0.287000
-4.828542 0.284800
-4.813742 0.282500
-4.798842 0.280300
-4.784042 0.278000
-4.769242 0.275800
-4.754442 0.273600
-4.739642 0.271400
-4.724842 0.269200
-4.710042 0.267100
-4.695242 0.264900
-4.680442 0.262800
-4.665542 0.260700
-4.650742 0.258600
-4.635942 0.256400
-4.621142 0.254400
-4.606342 0.252500
-4.591542 0.250600
-4.576742 0.248700
-4.561942 0.246800
-4.547142 0.244900
-4.532242 0.243000
-4.517442 0.241100
-4.502642 0.239200
-4.487842 0.237400
-4.473042 0.235500
-4.458242 0.233700
-4.443442 0.231800
-4.428642 0.230000
-4.413842 0.228100
-4.398942 0.226300
-4.384142 0.224500
-4.369342 0.222700
-4.354542 0.220900
-4.339742 0.219000
-4.324942 0.217400
-4.310142 0.215700
-4.295342 0.214100
-4.280542 0.296700
-4.265642 0.415300
-4.250842 0.460000
-4.236042 0.505300
-4.221242 0.545700
-4.206442 0.608600
-4.191642 0.643600
-4.176842 0.702600
-4.162042 0.747900
-4.147242 0.767700
-4.132342 0.805300
-4.117542 0.844500
-4.102742 0.887300
-4.087942 0.929900
-4.073142 0.976000
-4.058342 1.030100
-4.043542 1.122300
-4.028742 1.201600
-4.013842 1.322200
-3.999042 1.357200
-3.984242 1.316900
-3.969442 1.293100
-3.954642 1.264800
-3.939842 1.253300
-3.925042 1.243500
-3.910242 1.224700
-3.895442 1.207800
-3.880542 1.194800
-3.865742 1.189600
-3.850942 1.179000
-3.836142 1.163500
-3.821342 1.149300
-3.806542 1.130700
-3.791742 1.124300
-3.776942 1.113200
-3.762142 1.097800
-3.747242 1.083500
-3.732442 1.069700
-3.717642 1.057000
-3.702842 1.050300
-3.688042 1.044100
-3.673242 1.038300
-3.658442 1.032600
-3.643642 1.026900
-3.628842 1.020500
-3.613942 1.013500
-3.599142 1.001700
-3.584342 1.034600
-3.569542 1.038100
-3.554742 1.042600
-3.539942 1.035600
-3.525142 1.037800
-3.510342 1.040600
-3.495542 1.043400
-3.480642 1.046600
-3.465842 1.050000
-3.451042 1.049100
-3.436242 1.050100
-3.421442 1.053400
-3.406642 1.056400
-3.391842 1.057500
-3.377042 1.059100
-3.362142 1.061500
-3.347342 1.063900
-3.332542 1.069100
-3.317742 1.072700
-3.302942 1.076600
-3.288142 1.080800
-3.273342 1.084900
-3.258542 1.089000
-3.243742 1.094500
-3.228842 1.101000
-3.214042 1.107900
-3.199242 1.115300
-3.184442 1.123000
-3.169642 1.128200
-3.154842 1.132500
-3.140042 1.136800
-3.125242 1.141100
-3.110442 1.148100
-3.095542 1.156000
-3.080742 1.162800
-3.065942 1.169000
-3.051142 1.175900
-3.036342 1.184500
-3.021542 1.194600
-3.006742 1.205000
-2.991942 1.216600
-2.977142 1.227400
-2.962242 1.238700
-2.947442 1.250400
-2.932642 1.268100
-2.917842 1.282100
-2.903042 1.294500
-2.888242 1.312700
-2.873442 1.331300
-2.858642 1.350400
-2.843842 1.368400
-2.828942 1.388600
-2.814142 1.417900
-2.799342 1.486800
-2.784542 1.552000
-2.769742 1.593000
-2.754942 1.579600
-2.740142 1.561200
-2.725342 1.579000
-2.710442 1.564300
-2.695642 1.546500
-2.680842 1.545600
-2.666042 1.541600
-2.651242 1.537800
-2.636442 1.561700
-2.621642 1.540100
-2.606842 1.526700
-2.592042 1.523200
-2.577142 1.520300
-2.562342 1.513500
-2.547542 1.506300
-2.532742 1.493400
-2.517942 1.488500
-2.503142 1.495600
-2.488342 1.509600
-2.473542 1.492400
-2.458742 1.486900
-2.443842 1.486000
-2.429042 1.481200
-2.414242 1.467700
-2.399442 1.460300
-2.384642 1.456000
-2.369842 1.452500
-2.355042 1.447600
-2.340242 1.444600
-2.325442 1.444300
-2.310542 1.448500
-2.295742 1.438100
-2.280942 1.431300
-2.266142 1.425900
-2.251342 1.425300
-2.236542 1.423200
-2.221742 1.418700
-2.206942 1.412900
-2.192142 1.406600
-2.177242 1.399500
-2.162442 1.392000
-2.147642 1.386800
-2.132842 1.383400
-2.118042 1.382100
-2.103242 1.381400
-2.088442 1.379300
-2.073642 1.379300
-2.058842 1.376500
-2.043942 1.371500
