Energy(eV) Total_DOS
-19.860790 0.000000
-19.837490 0.000000
-19.814190 0.000000
-19.790890 0.000000
-19.767590 0.000000
-19.744390 0.000000
-19.721090 0.000000
-19.697790 0.000000
-19.674490 0.000000
-19.651190 0.000000
-19.627990 0.000000
-19.604690 0.000000
-19.581390 0.000000
-19.558090 0.000000
-19.534790 0.000000
-19.511590 0.000000
-19.488290 0.000000
-19.464990 0.000000
-19.441690 0.000000
-19.418390 0.000000
-19.395190 0.000000
-19.371890 0.000000
-19.348590 0.000000
-19.325290 0.000000
-19.301990 0.000000
-19.278790 0.000000
-19.255490 0.000000
-19.232190 0.000000
-19.208890 0.000000
-19.185590 0.000000
-19.162390 0.000000
-19.139090 0.000000
-19.115790 0.000000
-19.092490 0.000000
-19.069190 0.000000
-19.045990 0.000000
-19.022690 0.000000
-18.999390 0.000000
-18.976090 0.000000
-18.952790 0.000000
-18.929590 0.000000
-18.906290 0.000000
-18.882990 0.000000
-18.859690 0.000000
-18.836390 0.000000
-18.813190 0.000000
-18.789890 0.000000
-18.766590 0.000000
-18.743290 0.000000
-18.719990 0.000000
-18.696790 0.000000
-18.673490 0.000000
-18.650190 0.000000
-18.626890 0.000000
-18.603590 0.000000
-18.580390 0.000000
-18.557090 0.000000
-18.533790 0.000000
-18.510490 0.000000
-18.487190 0.000000
-18.463990 0.000000
-18.440690 0.000000
-18.417390 0.000000
-18.394090 0.000000
-18.370790 0.000000
-18.347590 0.000000
-18.324290 0.000000
-18.300990 0.000000
-18.277690 0.000000
-18.254390 0.000000
-18.231190 0.000000
-18.207890 0.000000
-18.184590 0.000000
-18.161290 0.000000
-18.137990 0.000000
-18.114790 0.000000
-18.091490 0.000000
-18.068190 0.000000
-18.044890 0.000000
-18.021590 0.000000
-17.998390 0.000000
-17.975090 0.000000
-17.951790 0.000000
-17.928490 0.000000
-17.905190 0.000000
-17.881990 0.000000
-17.858690 0.000000
-17.835390 0.000000
-17.812090 0.000000
-17.788790 0.000000
-17.765590 0.000000
-17.742290 0.006600
-17.718990 0.314200
-17.695690 0.517000
-17.672390 0.635700
-17.649190 0.772200
-17.625890 0.877300
-17.602590 1.000400
-17.579290 1.116200
-17.555990 1.228300
-17.532790 1.352100
-17.509490 1.478600
-17.486190 1.609000
-17.462890 1.743900
-17.439590 1.893300
-17.416390 2.053100
-17.393090 2.219600
-17.369790 2.405800
-17.346490 2.609000
-17.323190 2.838500
-17.299990 3.093600
-17.276690 3.363000
-17.253390 3.707100
-17.230090 4.101000
-17.206790 4.535200
-17.183590 5.119600
-17.160290 5.881700
-17.136990 6.930400
-17.113690 8.938500
-17.090390 9.729800
-17.067190 10.175900
-17.043890 10.468100
-17.020590 10.911400
-16.997290 11.649900
-16.973990 12.180600
-16.950790 15.720400
-16.927490 20.515200
-16.904190 0.000000
-16.880890 0.000000
-16.857590 0.000000
-16.834390 0.000000
-16.811090 0.000000
-16.787790 0.000000
-16.764490 0.000000
-16.741190 0.000000
-16.717990 0.000000
-16.694690 0.000000
-16.671390 0.000000
-16.648090 0.000000
-16.624790 0.000000
-16.601590 0.000000
-16.578290 0.000000
-16.554990 0.000000
-16.531690 0.000000
-16.508390 0.000000
-16.485190 0.000000
-16.461890 0.000000
-16.438590 0.000000
-16.415290 0.000000
-16.391990 0.000000
-16.368790 0.000000
-16.345490 0.000000
-16.322190 0.000000
-16.298890 0.000000
-16.275590 0.000000
-16.252390 0.000000
-16.229090 0.000000
-16.205790 0.000000
-16.182490 0.000000
-16.159190 0.000000
-16.135990 0.000000
-16.112690 0.000000
-16.089390 0.000000
-16.066090 0.000000
-16.042790 0.000000
-16.019590 0.000000
-15.996290 0.000000
-15.972990 0.000000
-15.949690 0.000000
-15.926390 0.000000
-15.903190 0.000000
-15.879890 0.000000
-15.856590 0.000000
-15.833290 0.000000
-15.809990 0.000000
-15.786790 0.000000
-15.763490 0.000000
-15.740190 0.000000
-15.716890 0.000000
-15.693590 0.000000
-15.670390 0.000000
-15.647090 0.000000
-15.623790 0.000000
-15.600490 0.000000
-15.577190 0.000000
-15.553990 0.000000
-15.530690 0.000000
-15.507390 0.000000
-15.484090 0.000000
-15.460790 0.000000
-15.437590 0.000000
-15.414290 0.000000
-15.390990 0.000000
-15.367690 0.000000
-15.344390 0.000000
-15.321190 0.000000
-15.297890 0.000000
-15.274590 0.000000
-15.251290 0.000000
-15.227990 0.000000
-15.204790 0.000000
-15.181490 0.000000
-15.158190 0.000000
-15.134890 0.000000
-15.111590 0.000000
-15.088390 0.000000
-15.065090 0.000000
-15.041790 0.000000
-15.018490 0.000000
-14.995190 0.000000
-14.971990 0.000000
-14.948690 0.000000
-14.925390 0.000000
-14.902090 0.000000
-14.878790 0.000000
-14.855590 0.000000
-14.832290 0.000000
-14.808990 0.000000
-14.785690 0.000000
-14.762390 0.000000
-14.739190 0.000000
-14.715890 0.000000
-14.692590 0.000000
-14.669290 0.000000
-14.645990 0.000000
-14.622790 0.000000
-14.599490 0.000000
-14.576190 0.000000
-14.552890 0.000000
-14.529590 0.000000
-14.506390 0.000000
-14.483090 0.000000
-14.459790 0.000000
-14.436490 0.000000
-14.413190 0.000000
-14.389990 0.000000
-14.366690 0.000000
-14.343390 0.000000
-14.320090 0.000000
-14.296790 0.000000
-14.273590 0.000000
-14.250290 0.000000
-14.226990 0.000000
-14.203690 0.000000
-14.180390 0.000000
-14.157190 0.000000
-14.133890 0.000000
-14.110590 0.000000
-14.087290 0.000000
-14.063990 0.000000
-14.040790 0.000000
-14.017490 0.000000
-13.994190 0.000000
-13.970890 0.000000
-13.947590 0.000000
-13.924390 0.000000
-13.901090 0.000000
-13.877790 0.000000
-13.854490 0.000000
-13.831190 0.000000
-13.807990 0.000000
-13.784690 0.000000
-13.761390 0.000000
-13.738090 0.000000
-13.714790 0.000000
-13.691590 0.000000
-13.668290 0.000000
-13.644990 0.000000
-13.621690 0.000000
-13.598390 0.000000
-13.575190 0.000000
-13.551890 0.000000
-13.528590 0.000000
