Energy(eV) Total_DOS
-24.21297797 0.0
-24.18227797 0.0
-24.151477970000002 0.0
-24.120677970000003 0.0
-24.08997797 0.0
-24.05917797 0.0
-24.02837797 0.0
-23.997677969999998 0.0
-23.96687797 0.0
-23.93607797 0.0
-23.90537797 0.0
-23.87457797 0.0
-23.84377797 0.0
-23.813077970000002 0.0
-23.782277970000003 0.0
-23.75147797 0.0
-23.72077797 0.0
-23.68997797 0.0
-23.659177970000002 0.0
-23.62847797 0.0
-23.59767797 0.0
-23.56687797 0.0
-23.53617797 0.0
-23.50537797 0.0
-23.47457797 0.0
-23.443877970000003 0.0
-23.41307797 0.0
-23.38227797 0.0
-23.35157797 0.0
-23.32077797 0.0
-23.289977970000002 0.0
-23.25927797 0.0
-23.22847797 0.0
-23.19767797 0.0
-23.16697797 0.0
-23.13617797 0.0
-23.10537797 0.0
-23.07467797 0.0
-23.04387797 0.0
-23.01307797 0.0
-22.98237797 0.0
-22.951577970000002 0.0
-22.920777970000003 0.0
-22.89007797 0.0
-22.85927797 0.0
-22.82847797 0.0
-22.79777797 0.0
-22.76697797 0.0
-22.73617797 0.0
-22.70547797 0.0
-22.67467797 0.0
-22.64397797 0.0
-22.613177970000002 0.0
-22.582377970000003 0.0
-22.55167797 0.0
-22.52087797 0.0
-22.49007797 0.0
-22.45937797 0.0
-22.42857797 0.0
-22.39777797 0.0
-22.36707797 0.0
-22.33627797 0.0
-22.30547797 0.0
-22.274777970000002 0.0
-22.243977970000003 0.0
-22.21317797 0.0
-22.18247797 0.0
-22.15167797 0.0
-22.120877970000002 0.0
-22.09017797 0.0
-22.05937797 0.0
-22.02857797 0.0
-21.99787797 0.0
-21.96707797 0.0
-21.93627797 0.0
-21.905577970000003 0.0
-21.87477797 0.0
-21.84397797 0.0
-21.81327797 0.0
-21.782477970000002 0.0
-21.751677970000003 0.0
-21.72097797 0.0
-21.69017797 0.0
-21.65937797 0.0
-21.62867797 0.0
-21.59787797 0.0
-21.56707797 0.0
-21.53637797 0.0
-21.50557797 0.0
-21.474777969999998 0.0
-21.444077970000002 0.0
-21.413277970000003 0.0001
-21.38247797 0.019
-21.35177797 0.0242
-21.32097797 0.0326
-21.290177970000002 0.0391
-21.25947797 0.0418
-21.22867797 0.0466
-21.19787797 0.0516
-21.16717797 0.0554
-21.136377969999998 0.0583
-21.10557797 0.061
-21.074877970000003 0.0641
-21.04407797 0.0677
-21.01327797 0.0714
-20.98257797 0.074
-20.951777970000002 0.0759
-20.920977970000003 0.0783
-20.89027797 0.0807
-20.85947797 0.0832
-20.82867797 0.0859
-20.797977969999998 0.0887
-20.76717797 0.0911
-20.73637797 0.0929
-20.70567797 0.0947
-20.67487797 0.0965
-20.64407797 0.0987
-20.613377970000002 0.1008
-20.582577970000003 0.1029
-20.55177797 0.1051
-20.52107797 0.1074
-20.49027797 0.1095
-20.459577969999998 0.1109
-20.42877797 0.1125
-20.39797797 0.1142
-20.36727797 0.1158
-20.33647797 0.1176
-20.30567797 0.1194
-20.274977970000002 0.1212
-20.244177970000003 0.1231
